,beef,businessName,case_number,chicken,city,lat,link,long,pork,product_desc,qty_recovered,recall_announcement,recall_date,recall_reason,state,street,zip
14,1,Santa Maria Foods,071-2013,1,Madison,43.038425,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-071-2013-release,-89.45136,1,Prosciutto Ham Product,"12월 13, 2013","Ontario, Canada Firm Recalls Prosciutto Ham Product For Possible Listeria Monocytogenes Contamination","12월 06, 2013",Possible Listeria Monocytogenes Contamination,WI,1326 S Midvale Blvd,53711
15,1,Buddy’s Kitchen,068-2014,1,Burnsville,44.78412,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-068-2014-release,-93.27603,1,,"11월 12, 2014",Minnesota Firm Recalls Meat and Poultry Products for Possible Listeria Contamination,"10월 08, 2014",,MN,12105 Nicollet Ave,55337
16,0,"Creminelli Fine Meats, LLC",067-2013,1,Salt Lake City,40.775616,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-067-2013-release,-112.00562,1,"Fully-Cooked-Not-Shelf-Stable, Ready-To-Eat Pork Roast Products Produced Under The Wrong Haccp Plan And",N/A (Class II Recall),"Utah Firm Recalls Fully-Cooked-Not-Shelf-Stable, Ready-To-Eat Pork Roast Products Produced Under The Wrong Haccp Plan And For Mislabeling","11월 22, 2013",Mislabeling,UT,310 N Wright Brothers Dr,84116
17,1,Sam Kane Beef Processors,066-2014,1,Beeville,28.29172,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-066-2014-release,-97.75107,0,Ground Beef Product,N/A (Class II Recall),Texas Firm Recalls Ground Beef Product Due To Possible Foreign Matter Contamination,"10월 04, 2014",To Possible Foreign Matter Contamination,TX,2069 County Road 502,78102
18,0,"Fran's Fryers, a Milford, Texas, establishment,",066-2013,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-066-2013,,0,Various Raw Poultry Products,"11월 18, 2013",Texas Firm Recalls Various Raw Poultry Products Produced Without the Benefit of Inspection,"11월 13, 2013",Without the Benefit of Inspection,,,
19,1,Vigil Beef Jerky Co.,065-2014,1,Sanford,28.779621,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-065-2014-release,-81.29674,0,Beef Jerky Products,"10월 08, 2014",New Mexico Firm Recalls Beef Jerky Products Produced Without the Benefit of Inspection,"10월 03, 2014",Without the Benefit of Inspection,FL,1295 W Airport Blvd,32773
20,0,B & R Meat Processing,064-2015,1,Winslow,35.809082,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-064-2015-release,-94.14077,1,Pork Products,,B & R Meat Processing Recalls Pork Products Due to Possible Processing Deviation and Staphylococcal Enterotoxin Contamination,"4월 18, 2015",to Possible Processing Deviation and Staphylococcal Enterotoxin Contamination,AR,633 N Devils Den Rd,72959
21,1,Royal Frozen Food,063-2015,1,Los Angeles,34.048546,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-063-2015-release,-118.35635,0,Beef and Chicken Products,,Royal Frozen Food Recalls Beef and Chicken Products Due to Misbranding and an Undeclared Allergen,"4월 17, 2015",to Misbranding and an Undeclared Allergen,CA,5423 W Pico Blvd,90019
22,1,"Sam Kane Beef Processors, LLC",063-2014,1,Corpus Christi,27.821,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-063-2014,-97.53597,0,,N/A (Class III Recall),Recall Notification Report 063-2014 (Ground Beef Chub),"9월 30, 2014",,TX,9001 Leopard St,78409
23,0,"B & R Meat Processing, Inc.",062-2015,1,Winslow,35.809082,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-062-2015-release,-94.14077,1,Products,N/A (Class II Recall),"B & R Meat Processing, Inc. Recalls Products Due to Nitrite Levels in Excess of Regulatory Limit","4월 15, 2015",to Nitrite Levels in Excess of Regulatory Limit,AR,633 N Devils Den Rd,72959
24,1,"Delicious Beef Jerky, LLC",062-2014,1,Albuquerque,35.145878,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-062-2014-release,-106.62547,0,Beef Jerky Products Incorrectly,"9월 27, 2014",New Mexico Firm Recalls Beef Jerky Products Incorrectly Produced and Shipped With The Mark Of Inspection,"9월 27, 2014",and Shipped With The Mark Of Inspection,NM,6220 Edith Blvd NE Neste E,87107
25,0,Beech-Nut Nutrition,061-2015,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-061-2015-release,,0,Baby Food Product,,Beech-Nut Nutrition Recalls Baby Food Product Due to Possible Foreign Matter Contamination,"4월 14, 2015",to Possible Foreign Matter Contamination,,,
26,1,Caviness Beef Packers,061-2014,1,Hereford,-10,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-061-2014-release,-10,0,Beef Products,"9월 29, 2014",Texas Firm Recalls Beef Products Due To Possible E. Coli O157:H7,"9월 25, 2014",To Possible E. Coli O157:H7,TX,,79045
27,1,"Leader Slaughterhouse, LLC",060-2015,1,Gladys,37.169956,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-060-2015-release,-79.00446,0,Veal Carcasses,No retail sales,"Leader Slaughterhouse, LLC Recalls Veal Carcasses Produced Without Full Benefit of Inspection","4월 13, 2015",Without Full Benefit of Inspection,VA,4141 Pigeon Run Rd,24554
28,1,oster Farms,060-2014,1,La Salle,40.276134,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-060-2014-release,-104.65261,1,Frozen Chicken Breast Strips,"10월 03, 2014",Louisiana Firm Recalls Frozen Chicken Breast Strips For Possible Listeria Monocytogenes Contamination,"9월 25, 2014",Possible Listeria Monocytogenes Contamination,CO,21333 County Road 40,80645
29,1,"Costco, in Coon Rapids, Minn.,",060-2013,1,Fort Myers,-10,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rc-060-2013-release,-10,0,Ground Beef Product,"10월 24, 2013",Minnesota Firm Recalls Ground Beef Product Due To Possible E. Coli O157:H7 Contamination,"10월 22, 2013",To Possible E. Coli O157:H7 Contamination,FL,,33908
30,1,"Corn Maiden Foods, Inc.",059-2015,1,Harbor City,33.79779,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-059-2015-release,-118.29921,1,Beef and Pork Products,N/A (Class II Recall),"Corn Maiden Foods, Inc. Recalls Beef and Pork Products Due To Misbranding and an Undeclared Allergen","4월 11, 2015",To Misbranding and an Undeclared Allergen,CA,24201 Frampton Ave,90710
31,1,Reser’s Fine Foods,059-2013,1,Dade City,28.34688,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-059-2013-expansion-2,-82.26161,1,"Chicken, Ham and Beef Products","11월 21, 2013","Kansas Firm Recalls Chicken, Ham and Beef Products Due To Potential Listeria Monocytogenes Contamination","11월 04, 2013",To Potential Listeria Monocytogenes Contamination,FL,13005 Thoroughbred Dr,33525
32,1,Reser’s Fine Foods,059-2013,1,Dade City,28.34688,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-059-2013-release-expansion,-82.26161,1,"Chicken, Ham And Beef Products","11월 21, 2013","Kansas Firm Recalls Chicken, Ham And Beef Products Due To Potential Listeria Monocytogenes Contamination","10월 26, 2013",To Potential Listeria Monocytogenes Contamination,FL,13005 Thoroughbred Dr,33525
33,1,Reser’s Fine Foods,059-2013,1,Dade City,28.34688,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rc-059-2013-release,-82.26161,1,"Chicken, Ham and Beef Products","11월 21, 2013","Kansas Firm Recalls Chicken, Ham and Beef Products Due To Potential Listeria Monocytogenes Contamination","10월 22, 2013",To Potential Listeria Monocytogenes Contamination,FL,13005 Thoroughbred Dr,33525
34,1,Cargill Meat Solutions,058-2015,1,Timberville,38.631668,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/rnr-058-2015,-78.7809,0,Beef Products,N/A (Class III Recall),Cargill Recalls Beef Products Due To Possible Foreign Matter Contamination,"4월 10, 2015",To Possible Foreign Matter Contamination,VA,480 Coop Dr,22853
35,1,Jerky By Art,058-2014,1,Albuquerque,35.09461,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-058-2014-release,-106.57755,0,Beef Jerky Products,,New Mexico Firm Recalls Beef Jerky Products Produced Without the Benefit of Inspection and Misbranded With Undeclared Allergens,"9월 12, 2014",Without the Benefit of Inspection and Misbranded With Undeclared Allergens,NM,1717 San Pedro Dr NE,87110
36,0,"La Guadalupana Wholesale Co., Inc.",057-2015,1,Chicago,41.826904,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-057-2015-release,-87.66092,1,Pork and Chicken Products,,"La Guadalupana Wholesale Co., Inc. Recalls Pork and Chicken Products Due To Misbranding and an Undeclared Allergen","4월 08, 2015",To Misbranding and an Undeclared Allergen,IL,1365 W 37th St,60609
37,1,"terbay Food Company, LLC",057-2014,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-057-2014-release,,1,Pork Sausage Product,,Washington Firm Recalls Pork Sausage Product Due To Misbranding and Undeclared Allergen,"9월 12, 2014",To Misbranding and Undeclared Allergen,,,
38,1,Vern’s and Sons Food Service,056-2015,1,New Iberia,29.93413,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-056-2015-release,-91.79268,0,Beef and Chicken Products,"4월 10, 2015",Vern’s and Sons Food Service Recalls Beef and Chicken Products Produced Without Benefit of Inspection,"4월 08, 2015",Without Benefit of Inspection,LA,3200 Freyou Rd,70560
39,0,Junction Pizza,056-2013,1,Robinson,31.466658,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rc-056-2013-release,-97.11393,1,Pizza Products,N/A (Class II Recall),Minnesota Firm Recalls Pizza Products Due To Misbranding and Undeclared Allergen,"9월 27, 2013",To Misbranding and Undeclared Allergen,TX,504 S Robinson Dr,76706
40,1,"Lebanese Butcher Slaughter, Inc. a Warrenton, Va. establishment,",055-2015,1,Quincy,39.945026,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-055-2015-release,-120.87287,0,"Beef, Goat, and Lamb Products Due To Misbranding and Being","4월 03, 2015","Lebanese Butcher Slaughter, Inc. Recalls Beef, Goat, and Lamb Products Due To Misbranding and Being Produced Without Benefit of Full Inspection","4월 02, 2015",Without Benefit of Full Inspection,CA,813 Chandler Rd,95971
41,1,Garden Fresh Foods,055-2013 EXP,1,Milwaukee,43.023987,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-055-2013-expanded,-87.92672,1,Ready-To-Eat Chicken and Ham Products,"10월 28, 2013",Wisconsin Firm Recalls Ready-To-Eat Chicken and Ham Products Due To Potential Listeria Monocytogenes Contamination,"10월 17, 2013",To Potential Listeria Monocytogenes Contamination,WI,726 S 12th St,53204
42,1,Garden Fresh Foods,055-2013,1,Milwaukee,43.023987,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-055-2013-expansion,-87.92672,1,Ready-To-Eat Chicken And Ham Products,"10월 28, 2013",Wisconsin Firm Recalls Ready-To-Eat Chicken And Ham Products Due To Potential Listeria Monocytogenes Contamination,"10월 25, 2013",To Potential Listeria Monocytogenes Contamination,WI,726 S 12th St,53204
43,1,"Garden Fresh Foods, a Milwaukee, Wisc.establishment,",055-2013,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rc-055-2013-release,,1,Ready-To-Eat Chicken And Ham Products,"10월 28, 2013",Wisconsin Firm Recalls Ready-To-Eat Chicken And Ham Products Due To Potential Listeria Monocytogenes Contamination,"9월 25, 2013",To Potential Listeria Monocytogenes Contamination,,,
44,1,obber’s Roost Jerky,054-2015,1,Ellensburg,46.992443,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-054-2015-release,-120.544334,1,Beef and Pork Jerky Product,No retail sales,Robber’s Roost Jerky Recalls Beef and Pork Jerky Product Due to Possible Listeria Contamination,"4월 01, 2015",to Possible Listeria Contamination,WA,305 E 1st Ave,98926
45,1,APPA Fine Foods,054-2014,1,Denison,42.003044,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-054-2014-release,-95.36482,1,Chicken Caesar Salad Kits,"8월 29, 2014",California Firm Recalls Chicken Caesar Salad Kits For Possible Listeria Contamination,"8월 21, 2014",Possible Listeria Contamination,IA,611 14th Ave S,51442
46,1,"Aadji & Manten International, LLC.",053-2015,1,Rockville,39.095093,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-053-2015-release,-77.14047,0,,,Laser Corned Beef Products Produced Without Benefit of Import Inspection,"4월 01, 2015",,MD,14650 Southlawn Ln,20850
47,1,Not Found,053-2014,1,Kerrville,30.037859,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-053-2014-release,-99.13627,0,Ground Beef Products,"8월 15, 2014",Massachusetts Firm Recalls Ground Beef Products Due To Possible E. Coli O157:H7 Contamination,"8월 15, 2014",To Possible E. Coli O157:H7 Contamination,TX,1509 Water St,78028
48,1,Viz Cattle,052-2015,1,Long Beach,33.78809,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/rnr-052-2015,-118.139946,0,,N/A (Class III Recall),Recall Notification Report 052-2015 (Flap Meat Beef),"3월 25, 2015",,CA,4500 E Pacific Coast Hwy Ste 320,90804
49,1,"Stock Yards Meat Packing Co., Inc.",051-2015,1,Paris,36.30188,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/rnr-051-2015,-88.32588,0,Roast Beef Product,N/A (Class III Recall),"Stock Yards Meat Packing Co., Inc. Recalls Roast Beef Product Due to Misbranding","3월 23, 2015",to Misbranding,TN,PO Box 87,38242
50,1,Boa Vida Imports,050-2015,1,New Bedford,41.65779,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-050-2015-release,-70.93279,1,,,Boa Vida Imports Recalls Pork And Beef Products Imported From An Ineligible Country Without Benefit Of Import Inspection,"3월 20, 2015",,MA,2243 Purchase St,02746
51,0,Van Lang Foods,049-2015,1,Countryside,41.79566,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-049-2015-release,-87.86172,1,Pork And Chicken Products,"4월 03, 2015",Van Lang Foods Recalls Pork And Chicken Products Due To Misbranding And Undeclared Allergen,"3월 20, 2015",To Misbranding And Undeclared Allergen,IL,5227 Dansher Rd,60525
52,0,Campbell’s Soup Supply Company LLC,049-2013,1,Napoleon,41.38657,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-049-2013-release,-84.12014,0,Canned Pasta,"10월 24, 2013",Texas Firm Recalls Canned Pasta Due to  Misbranding and Undeclared Allergen,"8월 30, 2013",to  Misbranding and Undeclared Allergen,OH,E Maumee Ave,43545
53,0,"StoneRidge Wholesale Division, LLC",048-2015,1,Stone Ridge,41.88501,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-048-2015-release,-74.11098,1,Pork Tenderloin Product,,"Stoneridge Wholesale Division, LLC Recalls Pork Tenderloin Product Due To Misbranding And Undeclared Allergens","3월 18, 2015",To Misbranding And Undeclared Allergens,NY,2821 US Highway 209,12484
54,1,reat American Marketing,048-2014,1,Wheat Ridge,39.775978,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-048-2014-release,-105.08145,1,,"7월 25, 2014",Texas Firm Recalls Ready-To-Eat Products for Possible Listeria Contamination,"7월 24, 2014",,CO,4350 Wadsworth Blvd,80033
55,1,Alewel’s Country Meats,047-2015,1,Warrensburg,38.77747,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/rnr-047-2015,-93.73643,0,,N/A (Class III Recall),Recall Notification Report 047-2015 (Buffalo Jerky),"3월 17, 2015",,MO,911 N Simpson Dr,64093
56,0,"A facility doing business as Sara Lee Foodservice in New London, Wis.,",047-2014,1,Zeeland,42.916737,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-047-2014-release,-86.02218,1,Sausage Product,N/A (Class II Recall),Wisconsin Firm Recalls Sausage Product Due To Misbranding and Undeclared Allergen,"7월 22, 2014",To Misbranding and Undeclared Allergen,MI,8300 96th Ave,49464
57,1,Bear Creek Smokehouse,046-2015,1,Marshall,32.61487,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-046-2015-release,-94.50078,0,Beef Products,N/A (Class II Recall),Bear Creek Smokehouse Recalls Beef Products Due to Misbranding and an Undeclared Allergen,"3월 14, 2015",to Misbranding and an Undeclared Allergen,TX,10857 State Highway 154,75670
58,1,"Gourmet Kitchen, Inc.",045-2015,1,Woodbridge,38.63104,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-045-2015-release,-77.27294,0,Various Beef and Chicken Products,N/A (Class II Recall),Gourmet Kitchen Inc. Recalls Various Beef and Chicken Products Due to Misbranding and an Undeclared Allergen,"3월 14, 2015",to Misbranding and an Undeclared Allergen,VA,14825 Build America Dr,22191
59,0,Grand Papa’s Inc.,044-2015,1,Branson,36.64255,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-044-2015-release,-93.25461,1,Fried Pork Skin Products,"4월 03, 2015",Grand Papa’s Inc. Recalls Fried Pork Skin Products Produced Without Benefit of Inspection,"3월 13, 2015",Without Benefit of Inspection,MO,1945 W 76 Country Blvd,65616
60,0,L & L Foods,043-2015,1,Nashville,35.973194,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-043-2015-release,-77.95967,1,Bacon Bits,N/A (Class II Recall),L & L Foods Recalls Bacon Bits Due to Misbranding and an Undeclared Allergen,"3월 12, 2015",to Misbranding and an Undeclared Allergen,NC,479 W Washington St,27856
61,1,HEB Meat Processing,043-2014,1,McAlester,34.86329,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-043-2014-release,-95.759964,0,Beef Products,"7월 03, 2014",Texas Firm Recalls Beef Products Due to Possible Foreign Matter Contamination,"7월 03, 2014",to Possible Foreign Matter Contamination,OK,5246 Hardy Springs Rd,74501
62,0,"Bon Appetizers, LLC, a Lakewood, N.J., company,",042-2015,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-042-2015-release,,0,Products,,"Bon Appetizers, LLC Recalls Products Due to Misbranding and an Undeclared Allergen","3월 12, 2015",to Misbranding and an Undeclared Allergen,,,
63,1,Rio Tex Wholesale Meats,041-2015,1,Mercedes,26.149866,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-041-2015-release,-97.92202,1,Ready-To-Eat Beef Products,,Rio Tex Wholesale Meats Recalls Ready-To-Eat Beef Products Due To Possible Listeria Contamination,"3월 06, 2015",To Possible Listeria Contamination,TX,1140 W 2nd St,78570
64,1,"Premier Distribution Center, Inc. a Nogales, Ariz. establishment,",040-2015,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2015/recall-040-2015-release,,1,Beef and Pork Products,"3월 31, 2015","Premier Distribution Center, Inc. Recalls Beef and Pork Products Due to Misbranding","3월 05, 2015",to Misbranding,,,
65,0,Rudolph Foods,040-2014,1,Newhebron,31.75572,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-040-2014,-90.009315,1,,N/A (Class III Recall),Recall Notification Report 040-2014 (Pork Products),"6월 25, 2014",,MS,607 Highway 42,39140
